type,id,label,color,name,class,route,aliases,tags,presets,edited,group,default_sets,default_reps,default_weight,weight_unit
group,full_body,Full body,,,,,,,,,,,,
group,core,Core,,,,,,,,,,,,
group,legs,Legs,,,,,,,,,,,,
group,shoulders,Shoulders,,,,,,,,,,,,
exercise,,,#F4A261,Kettlebell swing,,,,,,,full_body,3,15,,
exercise,,,#F4A261,Single-arm kettlebell swing,,,,,,,full_body,3,12,,
exercise,,,#F4A261,Kettlebell goblet squat,,,,,,,legs,3,10,,
exercise,,,#F4A261,Kettlebell clean,,,,,,,full_body,3,8,,
exercise,,,#F4A261,Kettlebell press,,,,,,,shoulders,3,8,,
exercise,,,#F4A261,Kettlebell snatch,,,,,,,full_body,3,6,,
exercise,,,#F4A261,Turkish get-up,,,,,,,full_body,3,3,,
exercise,,,#F4A261,Kettlebell windmill,,,,,,,core,3,8,,
exercise,,,#F4A261,Kettlebell deadlift,,,,,,,legs,3,10,,
exercise,,,#F4A261,Kettlebell row,,,,,,,back,3,10,,
exercise,,,#F4A261,Kettlebell halo,,,,,,,shoulders,3,12,,
exercise,,,#F4A261,Kettlebell farmer carry,,,,,,,full_body,3,40,,
